Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Annual Average Rainfall in mm,Year,,,,,Annual Average Temparature
Aus,Khagrachari ,11820,8195,,1986-87 ,,,,,
Aus,Khulna ,84365,37430,,1986-87 ,,,,,
Aus,Kishoregonj ,246735,124735,,1986-87 ,,,,,
Aus,Kushtia ,396250,197805,,1986-87 ,,,,,
Aus,Mymensingh ,430700,206995,,1986-87 ,,,,,
Aus,Noakhali ,441345,204515,,1986-87 ,,,,,
Aus,Pabna ,262040,97380,,1986-87 ,,,,,
Aus,Patuakhali ,258005,88220,,1986-87 ,,,,,
Aus,Rajshahi ,384145,168770,,1986-87 ,,,,,
Aus,Rangamati ,14250,9020,,1986-87 ,,,,,
Aus,Rangpur ,615535,245305,,1986-87 ,,,,,
Aus,Sylhet ,473830,230180,,1986-87 ,,,,,
Aus,Tangail ,240320,79140,,1986-87 ,,,,,
Aus,Bandarban ,23235,13300,,1987-88 ,,,,,
Aus,Barisal ,576285,92870,,1987-88 ,,,,,
Aus,Bogra ,77900,26423,,1987-88 ,,,,,
Aus,Chittagong ,170545,50050,,1987-88 ,,,,,
Aus,Comilla ,454210,91399,,1987-88 ,,,,,
Aus,Dhaka ,283530,35201,,1987-88 ,,,,,
Aus,Dinajpur ,340840,54713,,1987-88 ,,,,,
Aus,Faridpur ,649690,31419,,1987-88 ,,,,,
Aus,Jamalpur ,203925,22074,,1987-88 ,,,,,
Aus,Jessore ,552800,63365,,1987-88 ,,,,,
Aus,Khagrachari ,10630,5140,,1987-88 ,,,,,
Aus,Khulna ,102505,17695,,1987-88 ,,,,,
Aus,Kishoregonj ,285670,72336,,1987-88 ,,,,,
Aus,Kushtia ,418935,65223,,1987-88 ,,,,,
Aus,Mymensingh ,446685,111629,,1987-88 ,,,,,
Aus,Noakhali ,358530,76482,,1987-88 ,,,,,
Aus,Pabna ,206465,9750,,1987-88 ,,,,,
Aus,Patuakhali ,298585,27632,,1987-88 ,,,,,
Aus,Rajshahi ,295115,26431,,1987-88 ,,,,,
Aus,Rangamati ,12320,4519,,1987-88 ,,,,,
Aus,Rangpur ,576225,99311,,1987-88 ,,,,,
Aus,Sylhet ,353015,106477,,1987-88 ,,,,,
Aus,Tangail ,193050,12340,,1987-88 ,,,,,
Aus,Bandarban ,19500,10720,,1988-89 ,,,,,
Aus,Barisal ,545415,212825,,1988-89 ,,,,,
Aus,Bogra ,57730,31165,,1988-89 ,,,,,
Aus,Chittagong ,99944,54785,,1988-89 ,,,,,
Aus,Comilla ,356485,209070,,1988-89 ,,,,,
Aus,Dhaka ,324355,108760,,1988-89 ,,,,,
Aus,Dinajpur ,314955,133035,,1988-89 ,,,,,
Aus,Faridpur ,688820,232700,,1988-89 ,,,,,
Aus,Jamalpur ,171525,69625,,1988-89 ,,,,,
Aus,Jessore ,517310,229615,,1988-89 ,,,,,
Aus,Khagrachari ,8375,4570,,1988-89 ,,,,,
Aus,Khulna ,123975,58115,,1988-89 ,,,,,
Aus,Kishoregonj ,138640,70240,,1988-89 ,,,,,
Aus,Kushtia ,389420,193575,,1988-89 ,,,,,
Aus,Mymensingh ,411745,182555,,1988-89 ,,,,,
Aus,Noakhali ,464220,224765,,1988-89 ,,,,,
Aus,Pabna ,197140,62715,,1988-89 ,,,,,
Aus,Patuakhali ,288825,90675,,1988-89 ,,,,,
Aus,Rajshahi ,386550,161665,,1988-89 ,,,,,
Aus,Rangamati ,12495,7350,,1988-89 ,,,,,
Aus,Rangpur ,489665,216580,,1988-89 ,,,,,
Aus,Sylhet ,421555,226820,,1988-89 ,,,,,
Aus,Tangail ,202500,64040,,1988-89 ,,,,,
Aus,Bandarban ,23095,14685,,1989-90 ,,,,,
Aus,Barisal ,459060,202790,,1989-90 ,,,,,
Aus,Bogra ,40500,20965,,1989-90 ,,,,,
Aus,Chittagong ,113005,73215,,1989-90 ,,,,,
Aus,Comilla ,309255,161980,,1989-90 ,,,,,
Aus,Dhaka ,263270,109475,,1989-90 ,,,,,
Aus,Dinajpur ,215110,82140,,1989-90 ,,,,,
Aus,Faridpur ,588790,206795,,1989-90 ,,,,,
Aus,Jamalpur ,157090,60625,,1989-90 ,,,,,
Aus,Jessore ,380225,172115,,1989-90 ,,,,,
Aus,Khagrachari ,5090,3010,,1989-90 ,,,,,
Aus,Khulna ,102320,46045,,1989-90 ,,,,,
Aus,Kishoregonj ,189485,99270,,1989-90 ,,,,,
Aus,Kushtia ,306975,149965,,1989-90 ,,,,,
Aus,Mymensingh ,328765,154895,,1989-90 ,,,,,
Aus,Noakhali ,372485,172705,,1989-90 ,,,,,
Aus,Pabna ,145870,55260,,1989-90 ,,,,,
Aus,Patuakhali ,175200,68270,,1989-90 ,,,,,
Aus,Rajshahi ,359165,156050,,1989-90 ,,,,,
Aus,Rangamati ,12595,7845,,1989-90 ,,,,,
Aus,Rangpur ,356415,156665,,1989-90 ,,,,,
Aus,Sylhet ,527020,263215,,1989-90 ,,,,,
Aus,Tangail ,159440,49350,,1989-90 ,,,,,
Aus,Bandarban ,24520,15410,,1990-91 ,,,,,
Aus,Barisal ,440580,181510,,1990-91 ,,,,,
Aus,Bogra ,41730,24170,,1990-91 ,,,,,
Aus,Chittagong ,119380,87790,,1990-91 ,,,,,
Aus,Comilla ,306800,177220,,1990-91 ,,,,,
